gameID,name,yearPublished,primaryPublisher,primaryCategory,minPlayers,maxPlayers,playingTime,usersRated,averageRating,owned,numComments,averageWeight
30549,Pandemic,2008,Z-Man Games,Medical,2,4,45,109006,7.58896,168364,17305,2.4063
822,Carcassonne,2000,Hans im Glück,City Building,2,5,45,108776,7.41837,161299,19263,1.9057
13,Catan,1995,KOSMOS,Economic,3,4,120,108064,7.13598,167733,19402,2.313
68448,7 Wonders,2010,Repos Production,Ancient,2,7,30,90021,7.73515,120466,14553,2.3264
36218,Dominion,2008,Rio Grande Games,Card Game,2,4,30,81582,7.61,106956,13787,2.3542
9209,Ticket to Ride,2004,Days of Wonder,Trains,2,5,60,76207,7.41291,105748,13061,1.8445
178900,Codenames,2015,Czech Games Edition,Card Game,2,8,15,74456,7.59814,119753,9810,1.2788
167791,Terraforming Mars,2016,FryxGames,Economic,1,5,120,74269,8.41702,101872,10818,3.2434
173346,7 Wonders Duel,2015,Repos Production,Ancient,2,2,30,69528,8.1083,111275,9525,2.2234
31260,Agricola,2007,Lookout Games,Animals,1,5,150,66107,7.92581,78591,13000,3.6395
3076,Puerto Rico,2002,alea,City Building,3,5,150,65455,7.96662,76019,12250,3.2769
148228,Splendor,2014,Space Cowboys,Card Game,2,4,30,64734,7.44,92366,9404,1.7939
169786,Scythe,2016,Stonemaier Games,Economic,1,5,115,64611,8.21868,86371,9852,3.4261
40692,Small World,2009,Days of Wonder,Fantasy,2,5,80,64580,7.246,86452,10129,2.3544
14996,Ticket to Ride: Europe,2005,Days of Wonder,Trains,2,5,60,63292,7.54362,92203,9215,1.9311
230802,Azul,2017,Next Move Games,Abstract Strategy,2,4,45,62860,7.79966,95533,8014,1.7639
70323,King of Tokyo,2011,IELLO,Dice,2,6,30,61141,7.16923,88090,10148,1.4901
129622,Love Letter,2012,Alderac Entertainment Group,Card Game,2,4,20,59484,7.23308,98395,10324,1.1914
2651,Power Grid,2004,2F-Spiele,Economic,2,6,120,58614,7.84218,70142,10625,3.2667
266192,Wingspan,2019,Stonemaier Games,Animals,1,5,70,56146,8.10005,83920,7781,2.4393
39856,Dixit,2008,Libellud,Card Game,3,6,30,54525,7.24135,76535,8570,1.2127
163412,Patchwork,2014,Lookout Games,Abstract Strategy,2,2,30,52225,7.63916,78730,6844,1.6239
84876,The Castles of Burgundy,2011,alea,Dice,2,4,90,50576,8.12675,67282,8270,2.9996
478,Citadels,2000,Hans im Glück,Bluffing,2,8,60,50194,7.07884,67271,9961,2.0529
28143,Race for the Galaxy,2007,Rio Grande Games,Card Game,2,4,60,48919,7.75712,59758,9989,2.987
110327,Lords of Waterdeep,2012,Wizards of the Coast,City Building,2,5,120,48671,7.7489,60079,8163,2.4588
174430,Gloomhaven,2017,Cephalofair Games,Adventure,1,4,120,47853,8.74356,77758,8569,3.8699
34635,Stone Age,2008,Hans im Glück,Dice,2,4,90,47258,7.55424,50290,8104,2.47
161936,Pandemic Legacy: Season 1,2015,Z-Man Games,Environmental,2,4,60,45064,8.5935,70830,6805,2.831
65244,Forbidden Island,2010,Gamewright,Adventure,2,4,30,44528,6.78364,77814,8515,1.74
1927,Munchkin,2001,Steve Jackson Games,Card Game,3,6,120,43759,5.89119,78849,8279,1.8051
12333,Twilight Struggle,2005,GMT Games,Modern Warfare,2,2,180,43064,8.27955,59604,9187,3.5926
120677,Terra Mystica,2012,Feuerland Spiele,Civilization,2,5,150,41823,8.1236,45604,6231,3.9674
98778,Hanabi,2010,ABACUSSPIELE,Card Game,2,5,25,41588,7.07224,68643,6977,1.6949
150376,Dead of Winter: A Crossroads Game,2014,Plaid Hat Games,Bluffing,2,5,120,41405,7.54132,56649,5888,3.0118
54043,Jaipur,2009,GameWorks SàRL,Animals,2,2,30,41215,7.50318,61710,6763,1.4844
11,Bohnanza,1997,AMIGO,Card Game,2,7,45,40113,7.04109,60282,8817,1.6746
10547,Betrayal at House on the Hill,2004,Avalon Hill Games Inc.,Adventure,3,6,60,39652,7.05682,64751,8335,2.3856
50,Lost Cities,1999,KOSMOS,Card Game,2,2,30,39535,7.19021,55282,9243,1.4914
131357,Coup,2012,Indie Boards & Cards,Bluffing,2,6,15,38758,6.99983,64873,6756,1.4095
147020,Star Realms,2014,Wise Wizard Games,Card Game,2,2,20,38577,7.57886,56427,6158,1.9391
133473,Sushi Go!,2013,Adventureland Games,Card Game,2,5,15,38019,7.04022,65495,5656,1.1638
70919,Takenoko,2011,Bombyx,Animals,2,4,45,38038,7.25965,58295,5669,1.9751
170216,Blood Rage,2015,Cool Mini Or Not,Fantasy,2,4,90,37572,7.99259,45286,5669,2.8762
15987,Arkham Horror,2005,Fantasy Flight Games,Adventure,1,8,240,37558,7.24971,49815,8622,3.5778
41114,The Resistance,2009,Indie Boards & Cards,Bluffing,5,10,30,37370,7.26526,57974,6382,1.6043
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,Portal Games,Adventure,1,4,120,37107,7.81795,58160,6246,3.797
204583,Kingdomino,2016,Blue Orange (EU),City Building,2,4,15,36935,7.35009,61775,5307,1.2152
181304,Mysterium,2015,Libellud,Deduction,2,7,42,35262,7.28358,55040,4952,1.9093
183394,Viticulture Essential Edition,2015,Stonemaier Games,Economic,1,6,90,34792,8.05742,47547,4785,2.8925
157354,Five Tribes,2014,Days of Wonder,Animals,2,4,80,34594,7.77873,45028,5213,2.8545
463,Magic: The Gathering,1993,Wizards of the Coast,Bluffing,2,2,20,34402,7.53558,37698,7164,3.2235
37111,Battlestar Galactica: The Board Game,2008,Fantasy Flight Games,Bluffing,3,6,180,33964,7.74069,36726,6851,3.2462
126163,Tzolk'in: The Mayan Calendar,2012,Czech Games Edition,Ancient,2,4,90,33217,7.89039,38749,4935,3.669
205637,Arkham Horror: The Card Game,2016,Fantasy Flight Games,Adventure,1,2,120,33081,8.1617,59731,5262,3.4774
193738,Great Western Trail,2016,eggertspiele,American West,2,4,150,32984,8.29446,39730,4395,3.7124
162886,Spirit Island,2017,Greater Than Games LLC,Age of Reason,1,4,120,32239,8.36078,47538,5252,4.0289
201808,Clank!: A Deck-Building Adventure,2016,Renegade Game Studios,Adventure,2,4,60,31996,7.81497,42118,4277,2.2224
2655,Hive,2000,Gen42 Games,Abstract Strategy,2,2,20,31736,7.3235,42228,6589,2.323
181,Risk,1959,(Unknown),Territory Building,2,6,120,31723,5.5933,50362,7235,2.079
237182,Root,2018,Leder Games,Animals,2,4,90,31590,8.09779,48756,4810,3.7138
124361,Concordia,2013,PD-Verlag,Ancient,2,5,100,31531,8.12005,36532,5055,3.0145
194655,Santorini,2016,Roxley,Abstract Strategy,2,4,20,31525,7.43995,51083,4938,1.7261
146021,Eldritch Horror,2013,Fantasy Flight Games,Adventure,1,8,240,31490,7.78371,46708,4925,3.3197
157969,Sheriff of Nottingham,2014,Arcane Wonders,Bluffing,3,5,60,31472,7.12023,47520,4817,1.6528
40834,Dominion: Intrigue,2009,Rio Grande Games,Card Game,2,6,30,31226,7.70967,45243,4277,2.4211
31481,Galaxy Trucker,2007,Czech Games Edition,Real-time,2,4,60,30973,7.38915,34506,6116,2.3271
171,Chess,1475,(Public Domain),Abstract Strategy,2,2,0,30820,7.15428,43531,6840,3.6882
1406,Monopoly,1933,(Unknown),Economic,2,8,180,30817,4.37245,43316,7072,1.6377
199561,Sagrada,2017,Floodgate Games,Dice,1,4,45,30324,7.51438,47581,4277,1.9263
103343,A Game of Thrones: The Board Game (Second Edition),2011,Fantasy Flight Games,Bluffing,3,6,240,30266,7.57953,41349,4466,3.7242
6249,Alhambra,2003,Queen Games,Arabian,2,6,60,30166,7.03018,36994,6612,2.1039
